,30.09.2025,31.03.2025,31.03.2024,31.03.2023
"Restated Profit (Loss) Attributable to Equity Shareholders for Basic &
Diluted EPS",127.79,1 66.12,225.74,1 05.64
"Weighted Average Number of Equity Shares Outstanding for Basic &
Diluted EPS","1 0,88,25,400","10,88,25,400","12,23,09,552","16,70,31,750"
Nominal Value of Equity Share,5,5,5,5
Earnings (Deficit) Per Share Basic & Diluted,11.74*,15.26,18.46,6 .32
