"Raw Materials & Components
Finished Goods
Finished Goods in Transit
Work-in-Progress
Work-in-Progress - Development Cost
Stock-in-Trade","236.42
32.62
-
23.39
3 .23
19.45","181.00
7 .95
1 .95
9 .26
3 .59
3 .10",224.56,160.75
,,,0 .69,1 .03
,,,-,-
,,,29.61,24.21
,,,8 .71,13.61
,,,5 .95,3 .79
,315.11,206.85,269.52,203.39
