,30.09.2025,31.03.2025,31.03.2024,31.03.2023
Current Tax Expense for the period/year,51.90,9 2.93,76.17,3 2.76
MAT Credit Entitlement,-,-,-,(32.54)
"Deferred tax expense/(benefit), net",,,,
Origination and reversal of timing difference,(4.99),( 14.10),3 8.43,5 7.32
,46.91,7 8.83,1 14.60,5 7.54
Short (Excess) provision of current tax,0 .09,-,-,-
MAT Credit Entitlement of prior years,-,-,-,2 1.86
Tax Expense for the period/year,47.00,7 8.83,1 14.60,7 9.40
