Region,30.09.2025,31.03.2025,31.03.2024,31.03.2023
Within India,,,,
Maharashtra,556.59,869.68,723.13,618.11
Tamilnadu,197.81,377.77,390.03,671.36
Karnataka,227.07,393.55,285.49,241.98
Gujarat,198.35,457.95,355.12,442.54
Others,188.12,525.09,420.94,350.39
Outside India,,,,
U.A.E.,11.71,6.13,10.15,24.26
Australia,58.45,-,-,-
Philippines,-,-,5.40,3.36
Tanzania,-,-,0.10,6.85
Zambia,6.70,9.86,-,-
Others,2.64,13.24,19.64,19.42
Total,"1,447.44","2,653.27","2,210.00","2,378.26"
