,30.09.2025,31.03.2025,31.03.2024,31.03.2023
Audit Fees,0.22,0.44,0.40,0.33
Tax Audit Fees,0.06,0.13,0.12,0.09
Other Attest Services,0.01,0.04,0.19,0.06
