,,"Change in the value of the
instrument recognized in
OCI","Hedge
ineffectiveness
recognized in
profit or (loss)","Line item in the statement of profit or
loss that includes the hedge
ineffectiveness","Amount reclassified from
cash flow hedging reserve to
profit or (loss)","Line item affected in statement of profit
or loss because of the reclassification"
,As at 30.09.2025,,,,,
,"Cash Flow
Hedge",(0.73),Nil,NA,(0.14),Other Income
"As at 31.03.2025
Cash Flow 0.22 Nil NA (0.31) Other Income
Hedge
As at 31.03.2024
Cash Flow 0.47 Nil NA 0.31 Other Income
Hedge
As at 31.03.2023
Cash Flow (0.33) Nil NA (0.64) Other Income
Hedge
c) The following table provides reconciliation by risk category of components of equity and analysis of OCI items, net of tax, resulting from cash flow hedge accounting:
Movements in cash flow hedging reserve
Balance as at April 1, 2022 0.64
Add: Changes in fair value of the effective portion of outstanding cash flow derivative (net of settlement) (0.33)
Less: Amounts re-classified to restated consolidated statement profit or loss 0.64
Less: Deferred tax 0.12
As at March 31, 2023 (0.22)
Add: Changes in fair value of the effective portion of outstanding cash flow derivative (net of settlement) 0.47
Less: Amounts re-classified to restated consolidated statement profit or loss 0.22
Less: Deferred tax (0.16)
As at March 31, 2024 0.31
Add: Changes in fair value of the effective portion of outstanding cash flow derivative (net of settlement) 0.22
Less: Amounts re-classified to restated consolidated statement profit or loss (0.31)
Less: Deferred tax (0.08)
As at March 31, 2025 0 .14
Add: Changes in fair value of the effective portion of outstanding cash flow derivative (net of settlement)
( 0.73)
Less: Amounts re-classified to profit or loss ( 0.14)
Less: Deferred tax 0 .25
As at September 30, 2025 (0.47)",As at 31.03.2025,,,,,
,"Cash Flow
Hedge",0.22,Nil,NA,(0.31),Other Income
,As at 31.03.2024,,,,,
,"Cash Flow
Hedge",0.47,Nil,NA,0.31,Other Income
,As at 31.03.2023,,,,,
,"Cash Flow
Hedge",(0.33),Nil,NA,(0.64),Other Income
