"Capital Advances
Balances with Government Authorities
Prepaid Expenses","126.26
0 .65
1 .92","2 .82
0 .61
0 .65",18.35,2 .68
,,,0 .76,0 .50
,,,0 .75,0 .52
,128.83,4 .08,19.86,3 .70
