"Projects in Progress
Projects temporarily suspended
Total","Less than 1
Year",1-2 Years,2-3 Years,"More than
3 Years",Total
,"404.05
-","2 4.84
-","0 .05
-","0.36
-","4 29.30
-"
,404.05,24.84,0.05,0.36,4 29.30
"Projects in Progress
Projects temporarily suspended
Total","Less than 1
Year",1-2 Years,2-3 Years,"More than
3 Years",Total
,"345.35
-","6 .47
-","0 .05
-","0.36
-","3 52.23
-"
,345.35,6.47,0.05,0.36,3 52.23
"Projects in Progress
Projects temporarily suspended
Total","Less than 1
Year",1-2 Years,2-3 Years,"More than
3 Years",Total
,"2 1.02
-","1 .17
-","-
-","1.26
-","2 3.45
-"
,21.02,1.17,-,1.26,2 3.45
"Projects in Progress
Projects temporarily suspended
Total","Less than 1
Year",1-2 Years,2-3 Years,"More than
3 Years",Total
,"1 .69
-","0 .08
-","0 .22
-","2.41
-","4 .40
-"
,1 .69,0 .08,0 .22,2.41,4 .40
