"The Group has not entered into foreign currency forward contract for purposes other than hedging.
ThefollowingtableanalysesunhedgedforeigncurrencyriskfromfinancialinstrumentsasofSeptember30,2025,March31,2025,March31,
2024 and March 31, 2023:",,,,,,
,Particulars,Foreign Currency Denomination,"Foreign
Currency Amount",,"Indian Rupees equivalent in
Crores",
,Assets :,,30.09.2025,31.03.2025,30.09.2025,31.03.2025
,Trade Receivables,USD,"2 ,38,296","2,45,458",2.12,2 .10
,Liabilities :,,,,,
,Trade Payables,USD,"13,725",-,0.12,-
,Other Payables,EURO,"26,04,000","26,04,000",23.68,2 3.98
,,GBP,"3,66,779","3,66,779",4.01,4 .06
,"Net Statement of financial
position exposure",USD,"2 ,24,571","2,45,458",2.00,2 .10
,,EURO,"(26,04,000)","(26,04,000)",(23.68),( 23.98)
,,GBP,"(3,66,779)","(3,66,779)",(4.01),( 4.06)
