Particulars,As at,,,
,30/Sep/2025,31/Mar/2025,31/Mar/2024,31/Mar/2023
"[Current (unsecured) considered good]
Security deposit [unsecured]*
Earnest money deposits*
Interest accrued on
Deposit with banks
Less: Loss allowance for expected credit losses","278.05
3 4.10
5.49
-","253.42
30.03
5.70","199.02
17.83
0.05
-","53.24
14.64
-
-"
,,-,,
Total,317.64,289.15,216.90,67.88
