Particulars,As at,,,
,30/Sep/2025,31/Mar/2025,31/Mar/2024,31/Mar/2023
"Trade Payables
Total outstanding dues of micro enterprises and small enterprises
Total outstanding dues of creditors other than micro and small enterprises","7 .99
2 .06",,1 1.24,7 .52
,,6 .74,,
,,9 .14,6 .95,2 .35
Total,1 0.05,1 5.88,1 8.19,9 .87
