Particulars,"For the six months
period ended",For the year ended,,
,30/Sep/2025,31/Mar/2025,31/Mar/2024,31/Mar/2023
Revenue from contract with customers,"4,799.96","8,931.31","5,103.26","2,555.65"
Sale of services,,,,
Total,"4,799.96","8,931.31","5,103.26","2,555.65"
Particulars,"For the six months
period ended",For the year ended,,
,30/Sep/2025,31/Mar/2025,31/Mar/2024,31/Mar/2023
"Nature of services
Security service
Toll collection
Skills, training and development income
Human resources recruitment(abroad)
Training Services
Consultancy Fee
Background verification services
Traninng Fee",,"3,695.58
5,014.33
220.12
-
-
0.37
-
0.91","2,625.38
2,418.09
59.79
-
-
-
-
-","2,157.30
333.33
64.77
-
-
-
0.25
-"
,"2,018.96",,,
,"2,739.88",,,
,39.55,,,
,1.36,,,
,-,,,
,-,,,
,-,,,
,0.21,,,
Total,"4,799.96","8,931.31","5,103.26","2,555.65"
"Timing of revenue recognition
Services provided at a point-in-time
Services provided over time","2,741.45
2,058.51","5,015.61
3,915.70","2,418.09
2,685.17","333.58
2,222.07"
Total,"4,799.96","8,931.31","5,103.26","2,555.65"
