Particulars,As at,,,
,30/Sep/2025,31/Mar/2025,31/Mar/2024,31/Mar/2023
"Balances with banks in:
Deposits account (maturing after 3 months but less than or equal to 12 months)
Deposits account (maturing after 12 months)","427.05
5 2.89","315.17
19.81","288.35
15.31","-
32.29"
Total,479.95,334.98,303.66,32.29
