Particulars- (payable)/receivable,As at,,,
,30/Sep/2025,31/Mar/2025,31/Mar/2024,31/Mar/2023
"Apoint Infotech Private Limited
Advance receivable - Other current assets",7.59,6.94,,
,,,6.22,-
"Vetted Consultant Private Limited
Advance receivable - Other current assets",1.69,2.75,2.45,1.89
"Woke India Foundation (Section 8 company)
Advance receivable - Other current assets",5.89,5.00,2.91,0.70
"Randeep Hundal (payable)/receivable
Loan payable to Director -Unsecured Loan(A)
Remuneration payables (B)
Total Payables (A+B)",,,,
,(13.23),(14.70),( 18.98),( 17.64)
,(0.23),(0.37),( 0.28),-
,(13.46),(15.07),( 19.26),( 17.64)
"Uday Pal Singh (payable)/receivable
Loan payable to Director -Unsecured Loan(A)
Remuneration payables (B)
Total Payables (A+B)",,,,
,(0.30),(0.37),( 6.77),( 7.01)
,(0.26),(0.29),( 0.27),-
,(0.56),(0.66),( 7.04),( 7.01)
"Gurpal Singh (payable)/receivable
Remuneration payables",( 0.05),(0.05),( 0.18),( 0.29)
"Reema Mann (payable)/receivable
Remuneration payables",(0.01),(0.10),-,-
"Prabhjot Kahlon Vasdev
(Rpeamyaubneler)a/trioecne pivaaybablele s",-,(0.01),( 0.25),-
"Bijender (payable)/receivable
Remuneration payables (A)
Reimbursement payables (B)
Total Payables (A+B)",(0.18),(0.18),( 0.11),-
,(0.01),-,-,
,(0.19),(0.18),( 0.11),-
"Jyoti Sachdeva (payable)/receivable
Remuneration payables (A)",(0.16),(0.10),( 0.05),-
Particulars- (payable)/receivable,As at,,,
,30/Sep/2025,31/Mar/2025,31/Mar/2024,31/Mar/2023
"Aerodrone Robotics Private Limited
Advance receivable-(payable)/receivable - Other current assets",34.75,9.86,3.56,-
"Innovision International Pvt Ltd
Advance receivable-(payable)/receivable - Other current assets",8.37,7.21,-,-
"Vetted Consultant Private Limited
Advance receivable-(payable)/receivable - Other current assets",-,-,-,1.89
"Innovision HR Consultancy LLC
Advance receivable-(payable)/receivable - Other current assets",-,1.89,-,-
