Particulars,As at,,,
,30/Sep/2025,31/Mar/2025,31/Mar/2024,31/Mar/2023
"Deemed Cost
Computers
Plant & machinery
Furniture and fixtures
Office equipment
Vehicles
Freehold land","4.27
1.37
8.40
5.10
26.02
15.79","3.55
1.48
8.08
3.78
30.85
15.79","3.06
1.78
8.66
3.34
39.99
14.85
0.65","2 .47
0 .04
5 .53
3 .57
6 .35
2 .18
0 .72"
Buildings,0.56,0.59,,
Total,61.51,64.12,72.33,2 0.86
Particulars,As at,,,
,30/Sep/2025,31/Mar/2025,31/Mar/2024,31/Mar/2023
"Deemed Cost
Investment property",51.59,51.90,52.56,28.83
Total,51.59,51.90,52.56,28.83
Particulars,As at,,,
,30/Sep/2025,31/Mar/2025,31/Mar/2024,31/Mar/2023
"Deemed Cost
Software",0.17,0.19,0.23,0.16
Total,0.17,0.19,0.23,0.16
Particulars,As at,,,
,30/Sep/2025,31/Mar/2025,31/Mar/2024,31/Mar/2023
"Non Trade (Unquoted) Invetsment in subsidiary company
[Non-current]
Unquoted equity shares, fully paid up at cost
9,998 equity shares of Woke India Foundation",0.10,0.10,0.10,0.10
Total,0.10,0.10,0.10,0.10
"Aggregate amount of unquoted investments
Aggregate amount financial assets carried at fair value through profit or loss
Aggregate amount of impairment in value of investments","0.10
-
-","0.10
-
-","0.10
-
-","0.10
-
-"
Particulars,As at,,,
,30/Sep/2025,31/Mar/2025,31/Mar/2024,31/Mar/2023
"[Non-current]
Security deposit",1 .79,1 .79,1 .50,1 .74
Total,1 .79,1 .79,1 .50,1 .74
Particulars,As at,,,
,30/Sep/2025,31/Mar/2025,31/Mar/2024,31/Mar/2023
"[Non-current]
Provisions for employee benefits
Gratuity",4 0.18,4 4.28,2 4.33,2 0.59
Total,4 0.18,4 4.28,2 4.33,2 0.59
Particulars,As at,,,
,30/Sep/2025,31/Mar/2025,31/Mar/2024,31/Mar/2023
"[Current]
Provisions for employee benefits
Gratuity",1 0.02,2 .64,1 2.67,6 .53
Total,1 0.02,2 .64,1 2.67,6 .53
