Particulars,As at,,,
,30/Sep/2025,31/Mar/2025,31/Mar/2024,31/Mar/2023
"[Non-current]
Secured borrowings - at amortised cost
Term Loans
From Banks
From NBFC
From National Skill Development Corporation
Less:
Amount disclosed under the head current borrowings
Unsecured borrowings - at amortised cost
From Directors (refer note:- 38)*
From Banks
From NBFC
Less:
Amount disclosed under the head current borrowings","43.07
-
-
(14.43)","5 1.09
-
-
(14.38)","6 7.22
-
-
(19.95)","4 3.83
1 9.41
-
(15.29)"
,2 8.64,3 6.71,4 7.27,4 7.95
,"13.53
8.84
10.95
(19.25)","1 5.08
1 3.69
1 8.45
(24.81)","2 6.52
2 2.35
3 3.99
(24.22)","2 4.86
9 .90
1 2.89
(7.77)"
,1 4.07,2 2.41,5 8.64,3 9.88
Total Non-current,4 2.71,5 9.12,1 05.90,8 7.82
