Particulars,,As at,,,
,,30/Sep/2025,31/Mar/2025,31/Mar/2024,31/Mar/2023
"Rental income derived from investment properties (included in 'other income')
Direct operating expenses that generates rental income (included in 'other expenses')",,0.87,1.55,0.96,1.07
,,-,-,-,-
