"Sr.
No.","Name of
Subsidiary",,Fiscal 2025,,,,,,Fiscal 2024,,,,,,Fiscal 2023,,,,
,,,No. of,,% holding,% holding,,,No. of,,% holding,% holding,,,No. of,,% holding,% holding,
,,,shares,,,,,,shares,,,,,,shares,,,,
1,"Woke India
Foundation*",9998,,,99.98%,,,9998,,,99.98%,,,9998,,,99.98%,,
2,"Vetted
Consultants
Private Limited",0,,,0%,,,0,,,0%,,,9900,,,99%,,
3,"Aerodrone
Robotics Private
Limited",5100,,,51%,,,5100,,,51%,,,0,,,0%,,
4,"Innovision
International
private limited",10000,,,100%,,,**,,,-,,,**,,,-,,
5,"Innovision HR
Consultancy
L.L.C",100,,,100%,,,***,,,0%,,,***,,,0%,,
