Particulars,"For the six months
period ended",For the year ended,,
,30/Sep/2025,31/Mar/2025,31/Mar/2024,31/Mar/2023
"Toll
Toll charges -NHAI
Toll maintenance & other miscellaneous expenses
Skills, Training and Development expenses
Assessment, certification, fee & subscription
Training expenses
One time travel cost
Boarding & loadging expenses
Post placement support
Security
Management expenses
Immigration expenses
Drone Manufacturing
Consumables
Drone training expenses
Testing expenses",,"4,652.93
82.34
0.74
89.48
-
-
-
14.09
-
-
-
-","2,253.80
40.29
1.24
29.63
-
-
0.03
10.88
-
-
-
-","315.45
2.23
0.10
3.14
0.04
0.06
-
10.65
-
-
-
-"
,"2,497.92
35.97",,,
,"0.05
15.21
-
-
-
23.85
0.05
0.13
0.01
0.14",,,
Total,"2,573.32","4,839.58","2,335.87",331.67
