Particulars,As at,,,
,30/Sep/2025,31/Mar/2025,31/Mar/2024,31/Mar/2023
"Bank guarantee
Claims against the Company / disputed liability not acknowledge as debt *
Cases under Negotiable Instrument Act, 1881 #
Capital commitments to the extent not provided for","4 38.43
-
-
-","405.19
-
-
-","302.31
-
0.88
-","125.04
-
0.88
-"
Particulars,As at,,,
,30/Sep/2025,31/Mar/2025,31/Mar/2024,31/Mar/2023
Provident fund,1 42.92,218.49,147.88,94.81
Particulars,As at,,,
,30/Sep/2025,31/Mar/2025,31/Mar/2024,31/Mar/2023
"Opening defined benefit obligations
Current service cost
Interest cost
Benefit paid from the fund
Remeasurement (gains)/losses:
Actuarial (gains)/losses arising from changes in demographic assumptions
Actuarial (gains)/losses arising from changes in financial assumptions
Actuarial (gains)/losses arising from experience assumptions","4 6.91
8 .15
1 .44
(0.35)","37.11
15.21
2.63
(1.30)","27.12
8.68
1.91
(2.19)
-
(0.55)
2.16","29.81
6.80
1.48
(2.81)
-
(29.31)
21.15"
,"-
(5.96)
-","-
(6.74)
-",,
Closing defined benefit obligation,50.19,46.91,37.11,27.12
