Particulars,As at,,,
,30/Sep/2025,31/Mar/2025,31/Mar/2024,31/Mar/2023
"[Current]
Secured borrowings - at amortised cost
Working capital demand loans from banks
Bank OD / Cash Credit
Current maturities of non-current borrowings
Bill discounting from banks
(Secured against trade receivables with recourse)
Unsecured borrowings - at amortised cost
Current maturities of non-current borrowings","1 30.00
7 81.68
1 4.43
1 35.88","-
6 19.81
1 4.38
7 2.39","-
3 31.38
1 9.95
-","-
2 22.49
1 5.29
-"
,"1 ,061.99",7 06.58,3 51.33,2 37.78
,1 9.25,2 4.81,2 4.22,7 .77
,1 9.25,2 4.81,2 4.22,7 .77
Total current,"1 ,081.23",7 31.39,3 75.56,2 45.56
