Name of the Entity,"As at 30th September, 2025",,"As at 30th September, 2024",,"As at 31st March, 2025",,"As at 31st March, 2024",,"As at 31st March, 2023",
,"Net assets, i.e., total assets minus total liabilities",,"Net assets, i.e., total assets minus total liabilities",,"Net assets, i.e., total assets minus total liabilities",,"Net assets, i.e., total assets minus total liabilities",,"Net assets, i.e., total assets minus total
liabilities",
,"As % of consolidated
net assets",Amount,"As % of consolidated net
assets",Amount,"As % of consolidated net
assets",Amount,"As % of consolidated net
assets",Amount,"As % of consolidated
net assets",Amount
Clean Max Solaris Private Limited,( 0.01),(2.44),( 0.01),(3.21),( 0.01),(2.21),( 0.02),( 3.36),-,-
Clean Max Uranus Private Limited,1.04,353.80,1.38,369.59,1 .09,348.34,1 .62,3 62.05,-,-
Clean Max Uno Private Limited,0.14,46.30,0.18,47.65,0 .15,46.93,-,( 0.07),-,-
Clean Max Deneb Power LLP,0.96,327.38,1.20,321.01,1 .00,319.37,1 .43,3 20.31,0 .97,142.40
Clean Max Orion Power LLP,0.23,78.52,0.29,77.87,0 .23,72.45,0 .32,7 2.00,0 .48,70.39
Clean Max Pluto Solar Power LLP,1.53,519.63,2.12,568.53,1 .52,488.53,2 .44,5 45.96,2 .92,428.48
Clean Max Regulus Power LLP,-,(0.62),-,(0.55),-,(0.60),-,( 0.55),-,(0.50)
Clean Max Scorpius Power LLP,2.12,719.27,2.44,652.46,2 .02,645.80,2 .87,6 40.23,3 .57,523.89
Clean Max Suryamukhi LLP,-,(0.21),-,(0.09),-,(0.18),-,( 0.05),-,0.09
Clean Max Vega Power LLP,3.62,"1,232.05",2.92,782.19,2 .36,756.88,3 .41,7 61.89,2 .59,379.76
Clean Max Venus Power LLP,-,(0.39),-,(0.34),-,(0.38),-,( 0.33),-,(0.28)
Clean Max Auriga Power LLP,0.60,205.38,0.77,205.03,0 .63,201.61,0 .90,2 01.64,1 .38,202.51
Clean Max Fusion Power LLP,0.07,25.11,0.08,21.77,0 .09,28.88,-,0 .27,-,0.35
Clean Max IPP 3 Power LLP,-,(0.30),-,(0.25),-,(0.05),-,( 0.24),-,(0.19)
Clean Max Power 3 LLP,3.24,"1,100.79",4.16,"1,112.13",3 .19,"1,022.63",5 .21,"1 ,163.46",7 .06,"1,036.82"
Clean Max Apollo Power LLP,-,0.24,-,0.58,-,0.51,-,0 .61,0 .01,0.74
Clean Max Light Power LLP,0.37,126.64,0.52,138.34,0 .40,127.46,0 .64,1 41.97,-,(0.23)
Clean Max Charge LLP,0.72,244.91,0.40,107.61,0 .78,248.58,0 .56,1 24.97,-,(0.18)
