Particulars,1,2,Total
Name of the acquiree,Gautam Patel (Proprietor),"Surya Energy Photo Voltaic
India Private Limited",
Description of the acquiree,"Proprietor engaged in the business of solar
energy generation","A private company having
government connectivity
approvals and common infra
for Wind and Solar farms.",
Acquisition date,"1st April, 2024","30th September, 2024",
Percentage of voting equity interests acquired,100%,NA,
Reason for business combination/asset acquisition,"Due to change in global economic
scenarios, there has been an increase in the
price of solar modules being imported. The
synergies on the business combination
have enabled the Company to improve its
profitability.","To obtain the connectivity
approvals and common
infrastructure for
construction of wind and
solar farms",
Type of acquisition,Business Combination,Asset acquisition,
"Acquisition date values (amount recognised)
-Property, plant and equipment
-Customer contracts
-Other assets
-Trade payables
Purchase consideration paid
Acquisition date fair value of Group's interest
Goodwill
Factors that make up Goodwill","3 0.23 6 7.95 98.18
9 .04 - 9 .04
- 222.06 222.06
(0.27) (31.06) (31.33)
3 9.00 258.95 297.95
3 9.00 258.95 297.95
- - -
- - -",,
,"The Goodwill is attributable to synergies on business combination and higher profitability of the
acquired business.",,
"Revenue recognised since acquisition date
Profit/(Loss) recognised since acquisition date","3 .84 - 3 .84
1 .56 - 1 .56",,
