Property Plant and Equipment,"Description of the item of
property","Name of the Company in which the immovable
property is capitalised",Acres,"Gross carrying value
(Rs. In million)",Lease deeds held in the name of,"Whether title deed holder is a
promoter, director or relative of
promoter/director or employee
of promoter/director","Property held
since which
date","Reason for not
being held in the
name of the group"
"Property, plant and equipment",Leasehold Land,Clean Max Surya Energy Private Limited,0 .40,0 .22,Lease deed not prepared,Not Applicable,21-10-2024,"Respective entities
are in the process
of completing the
formalities in
relation to the
execution of Lease
deeds"
"Property, plant and equipment",Leasehold Land,Clean Max Surya Energy Private Limited,0 .96,0 .54,Lease deed not prepared,Not Applicable,21-10-2024,
"Property, plant and equipment",Leasehold Land,Clean Max Surya Energy Private Limited,0 .54,0 .30,Lease deed not prepared,Not Applicable,21-10-2024,
"Property, plant and equipment",Leasehold Land,Clean Max Surya Energy Private Limited,0 .94,0 .52,Lease deed not prepared,Not Applicable,11-10-2024,
"Property, plant and equipment",Leasehold Land,Clean Max Surya Energy Private Limited,0 .54,0 .30,Lease deed not prepared,Not Applicable,21-10-2024,
"Property, plant and equipment",Leasehold Land,Clean Max Surya Energy Private Limited,1 .01,0 .57,Lease deed not prepared,Not Applicable,07-10-2024,
"Property, plant and equipment",Leasehold Land,Clean Max Surya Energy Private Limited,0 .54,0 .30,Lease deed not prepared,Not Applicable,21-10-2024,
"Property, plant and equipment",Leasehold Land,Clean Max Surya Energy Private Limited,9 .49,5 .30,Lease deed not prepared,Not Applicable,11-10-2024,
"Property, plant and equipment",Leasehold Land,Clean Max Surya Energy Private Limited,0 .94,0 .52,Lease deed not prepared,Not Applicable,07-10-2024,
"Property, plant and equipment",Leasehold Land,Clean Max Surya Energy Private Limited,0 .79,0 .44,Lease deed not prepared,Not Applicable,27-10-2024,
"Property, plant and equipment",Leasehold Land,Clean Max Surya Energy Private Limited,0 .59,0 .33,Lease deed not prepared,Not Applicable,21-10-2024,
"Property, plant and equipment",Leasehold Land,Clean Max Surya Energy Private Limited,0 .47,0 .26,Lease deed not prepared,Not Applicable,27-10-2024,
"Property, plant and equipment",Leasehold Land,Clean Max Surya Energy Private Limited,1 .21,0 .68,Lease deed not prepared,Not Applicable,11-10-2024,
"Property, plant and equipment",Leasehold Land,Clean Max Surya Energy Private Limited,0 .99,0 .55,Lease deed not prepared,Not Applicable,07-10-2024,
"Property, plant and equipment",Leasehold Land,Clean Max Surya Energy Private Limited,2 .00,1 .12,Lease deed not prepared,Not Applicable,07-10-2024,
"Property, plant and equipment",Leasehold Land,Clean Max Surya Energy Private Limited,0 .49,0 .28,Lease deed not prepared,Not Applicable,21-10-2024,
"Property, plant and equipment",Leasehold Land,Clean Max Surya Energy Private Limited,4 .40,2 .46,Lease deed not prepared,Not Applicable,11-10-2024,
"Property, plant and equipment",Leasehold Land,Clean Max Surya Energy Private Limited,9 .51,5 .32,Lease deed not prepared,Not Applicable,07-10-2024,
"Property, plant and equipment",Leasehold Land,Clean Max Surya Energy Private Limited,1 .61,0 .90,Lease deed not prepared,Not Applicable,07-10-2024,
"Property, plant and equipment",Leasehold Land,Clean Max Surya Energy Private Limited,1 .37,0 .62,Lease deed not prepared,Not Applicable,20-10-2023,
"Property, plant and equipment",Leasehold Land,Clean Max Surya Energy Private Limited,1 .21,0 .66,Lease deed not prepared,Not Applicable,08-11-2023,
"Property, plant and equipment",Leasehold Land,Clean Max Surya Energy Private Limited,0 .84,0 .45,Lease deed not prepared,Not Applicable,04-11-2023,
"Property, plant and equipment",Leasehold Land,Clean Max Surya Energy Private Limited,0 .32,0 .17,Lease deed not prepared,Not Applicable,22-12-2023,
"Property, plant and equipment",Leasehold Land,Clean Max Surya Energy Private Limited,0 .22,0 .12,Lease deed not prepared,Not Applicable,22-12-2023,
"Property, plant and equipment",Leasehold Land,Clean Max Surya Energy Private Limited,1 .28,0 .70,Lease deed not prepared,Not Applicable,02-12-2023,
"Property, plant and equipment",Leasehold Land,Clean Max Surya Energy Private Limited,1 .28,0 .70,Lease deed not prepared,Not Applicable,24-11-2023,
"Property, plant and equipment",Leasehold Land,Clean Max Surya Energy Private Limited,0 .27,0 .15,Lease deed not prepared,Not Applicable,31-10-2023,
"Property, plant and equipment",Leasehold Land,Clean Max Surya Energy Private Limited,0 .99,0 .53,Lease deed not prepared,Not Applicable,26-10-2023,
"Property, plant and equipment",Leasehold Land,Clean Max Surya Energy Private Limited,0 .94,0 .51,Lease deed not prepared,Not Applicable,30-10-2023,
"Property, plant and equipment",Leasehold Land,Clean Max Surya Energy Private Limited,1 .09,1 .19,Lease deed not prepared,Not Applicable,31-10-2023,
"Property, plant and equipment",Leasehold Land,Clean Max Surya Energy Private Limited,0 .86,0 .47,Lease deed not prepared,Not Applicable,30-10-2023,
"Property, plant and equipment",Leasehold Land,Clean Max Surya Energy Private Limited,0 .42,0 .23,Lease deed not prepared,Not Applicable,24-11-2023,
"Property, plant and equipment",Leasehold Land,Clean Max Surya Energy Private Limited,1 .95,1 .06,Lease deed not prepared,Not Applicable,28-12-2023,
"Property, plant and equipment",Leasehold Land,Clean Max Surya Energy Private Limited,0 .15,0 .08,Lease deed not prepared,Not Applicable,03-02-2024,
"Property, plant and equipment",Leasehold Land,Clean Max Surya Energy Private Limited,0 .22,0 .12,Lease deed not prepared,Not Applicable,03-02-2024,
"Property, plant and equipment",Leasehold Land,Clean Max Surya Energy Private Limited,1 .11,1 .50,Lease deed not prepared,Not Applicable,28-12-2023,
"Property, plant and equipment",Leasehold Land,Clean Max Surya Energy Private Limited,0 .74,0 .40,Lease deed not prepared,Not Applicable,28-12-2023,
"Property, plant and equipment",Leasehold Land,Clean Max Surya Energy Private Limited,0 .69,0 .37,Lease deed not prepared,Not Applicable,14-01-2024,
"Property, plant and equipment",Leasehold Land,Clean Max Surya Energy Private Limited,4 .52,2 .45,Lease deed not prepared,Not Applicable,05-01-2024,
"Property, plant and equipment",Leasehold Land,Clean Max Surya Energy Private Limited,0 .74,0 .40,Lease deed not prepared,Not Applicable,22-12-2023,
"Property, plant and equipment",Leasehold Land,Clean Max Surya Energy Private Limited,0 .99,0 .53,Lease deed not prepared,Not Applicable,23-12-2023,
"Property, plant and equipment",Leasehold Land,Clean Max Surya Energy Private Limited,0 .44,0 .63,Lease deed not prepared,Not Applicable,02-11-2023,
"Property, plant and equipment",Leasehold Land,Clean Max Surya Energy Private Limited,1 .11,0 .60,Lease deed not prepared,Not Applicable,02-11-2023,
"Property, plant and equipment",Leasehold Land,Clean Max Surya Energy Private Limited,1 .11,0 .60,Lease deed not prepared,Not Applicable,02-11-2023,
"Property, plant and equipment",Leasehold Land,Clean Max Surya Energy Private Limited,0 .54,2 .11,Lease deed not prepared,Not Applicable,20-10-2023,
"Property, plant and equipment",Leasehold Land,Clean Max Surya Energy Private Limited,1 .68,0 .80,Lease deed not prepared,Not Applicable,31-10-2023,
