Scheme,"Number of
options",Exercise Price,"Average Fair Value
(range)"
Scheme 1,"1,22,120",1,199 to 524
Scheme 2,"4,95,070",1,574 to 724
Scheme 3- Category A,"6,38,050",1,"862 to 1,225"
Scheme 3- Category B,"4,62,100",1,"862 to 1,225"
