Particulars,"For the six months period
ended 30th September, 2025",,"For the six months period
ended 30th September, 2024",,"For the year ended
31st March, 2025",,"For the year ended
31st March, 2024",,"For the year ended
31st March, 2023",
,"Options
(Numbers)","Weighted average
exercise price per
option (Rs)","Options
(Numbers)","Weighted average
exercise price per
option (Rs)","Options
(Numbers)","Weighted average exercise
price per option (Rs)","Options
(Numbers)","Weighted average
exercise price per
option (Rs)","Options
(Numbers)","Weighted average
exercise price per
option (Rs)"
"Option outstanding at the beginning of the period/year
Granted during the period
Exercised during the period
Encashed during the period
Expired during the period","1,73,598
7 5
-
-
( 1,939)","10
10
-
-
-","1,38,150
44,023
-
(1,465)
(6,248)","10
10
-
-
-","1,38,150
4 5,299
-
(1,465)
(8,386)","10
10
-
-
-","91,389
8 1,629
-
( 22,396)
( 12,472)","10
10
-
-
-","97,568
16,675
(11,203)
-
(11,651)","1 0
1 0
10
-
10"
Options outstanding at the end of the period/year,"1,71,734",1 0,"1,74,460",10,"1,73,598",10,"1,38,150",1 0,"91,389",1 0
