"Sr.
No.",From,To,Terms of arrangement,"Fixed/
Floating",Rate of interest,Tenure,Amount
100,"Clean Max Enviro Energy
Solutions Limited","Clean Max Aurora Private
Limited","Principal - Repayment in one or more tranches, at any time within the availability period of 25 years.
Interest-1yearofMoratoriumperiodandduringthesameperiodtheinterestwillnotbecharged,Further,
from Year 2 onwards the Interest is payable subject to any of the conditions below:
a. Free Cash flows available
b. Approval of Senior Lender in case senior lender requires the same under their agreement or sanction letter.
Aninterestrateof10%p.awillbeappliedatsimpleinterestiftheloanispartiallyorfullyrepaidwithinthe
tenure",Fixed,"Year 1 - 0%
Year 2-6 -10%
Year 7-8 -11%
Year 9-25 -18%",25 years,29.50
101,"Clean Max Enviro Energy
Solutions Limited","Clean Max Jasper Private
Limited","Principal - Repayment in one or more tranches, at any time within the availability period of 25 years.
Interest-1yearofMoratoriumperiodandduringthesameperiodtheinterestwillnotbecharged,Further,
from Year 2 onwards the Interest is payable subject to any of the conditions below:
a. Free Cash flows available
b. Approval of Senior Lender in case senior lender requires the same under their agreement or sanction letter.
Aninterestrateof10%p.awillbeappliedatsimpleinterestiftheloanispartiallyorfullyrepaidwithinthe
tenure",Fixed,"Year 1 - 0%
Year 2-6 -10%
Year 7-8 -11%
Year 9-25 -18%",25 years,287.80
102,"Clean Max Enviro Energy
Solutions Limited","Clean Max Bloom Private
Limited","Principal - Repayment in one or more tranches, at any time within the availability period of 25 years.
Interest-1yearofMoratoriumperiodandduringthesameperiodtheinterestwillnotbecharged,Further,
from Year 2 onwards the Interest is payable subject to any of the conditions below:
a. Free Cash flows available
b. Approval of Senior Lender in case senior lender requires the same under their agreement or sanction letter.
Aninterestrateof10%p.awillbeappliedatsimpleinterestiftheloanispartiallyorfullyrepaidwithinthe
tenure",Fixed,"Year 1 - 0%
Year 2-6 -10%
Year 7-8 -11%
Year 9-25 -18%",25 years,150.00
103,"Clean Max Enviro Energy
Solutions Limited","Clean Max Bryce Private
Limited","Principal - Repayment in one or more tranches, at any time within the availability period of 25 years.
Interest-1yearofMoratoriumperiodandduringthesameperiodtheinterestwillnotbecharged,Further,
from Year 2 onwards the Interest is payable subject to any of the conditions below:
a. Free Cash flows available
b. Approval of Senior Lender in case senior lender requires the same under their agreement or sanction letter.
Aninterestrateof10%p.awillbeappliedatsimpleinterestiftheloanispartiallyorfullyrepaidwithinthe
tenure",Fixed,"Year 1 - 0%
Year 2-6 -10%
Year 7-8 -11%
Year 9-25 -18%",25 years,16.40
