Name of the Entity,"For the six months period ended 30th
September, 2025",,"For the six months period ended 30th
September, 2024",,"For the year ended
31st March, 2025",,"For the year ended
31st March, 2024",,"For the year ended
31st March, 2023",
,Total Comprehensive income/(loss),,Total Comprehensive income/(loss),,Total Comprehensive income/(loss),,Total Comprehensive income/(loss),,Total Comprehensive income/(loss),
,"As % of consolidated
total comprehensive
(income)/loss",Amount,"As % of consolidated
total comprehensive
(income)/loss",Amount,"As % of consolidated total
comprehensive
(income)/loss",Amount,"As % of consolidated total
comprehensive
(income)/loss",Amount,"As % of consolidated
total comprehensive
(income)/loss",Amount
Clean Max Adriatic Private Limited,(0.01),(0.05),-,-,-,-,-,-,-,-
Clean Max Arctic Private Limited,(0.01),(0.10),-,-,-,-,-,-,-,-
Clean Max Amalfi Private Limited,(0.01),(0.10),-,-,-,-,-,-,-,-
Clean Max Petra Private Limited,(0.08),(0.57),-,-,-,-,-,-,-,-
Clean Max Kilimanjaro Private Limited,(0.01),(0.10),-,-,-,-,-,-,-,-
Clean Max Fuji Private Limited,(0.01),(0.10),-,-,-,-,-,-,-,-
Clean Max Iguazu Private Limited,(0.01),(0.10),-,-,-,-,-,-,-,-
Clean Max Azores Private Limited,(0.10),(0.67),-,-,-,-,-,-,-,-
Clean Max Lapland Private Limited,(0.01),(0.04),-,-,-,-,-,-,-,-
Clean Max Louise Private Limited,(0.01),(0.05),-,-,-,-,-,-,-,-
Clean Max Como Private Limited,(0.01),(0.05),-,-,-,-,-,-,-,-
Clean Max Laguna Private Limited,(0.01),(0.05),-,-,-,-,-,-,-,-
Clean Max Peyto Private Limited,(0.10),(0.67),-,-,-,-,-,-,-,-
Clean Max Moraine Private Limited,(0.01),(0.05),-,-,-,-,-,-,-,-
Clean Max Emerald Private Limited,(0.01),(0.06),-,-,-,-,-,-,-,-
Clean Max Victoria Private Limited,(0.01),(0.06),-,-,-,-,-,-,-,-
Clean Max Ahar Private Limited,(0.01),(0.07),-,-,-,-,-,-,-,-
Clean Max Aranyam Private Limited,(0.01),(0.07),-,-,-,-,-,-,-,-
Clean Max Hana Private Limited,(0.01),(0.05),-,-,-,-,-,-,-,-
(II) (b) Foreign subsidiaries:,,,,,,,,,,
Cleanmax Solar Mena FZCO (Consolidated)*,4.81,33.05,23.82,35.86,116.05,254.16,23.32,( 88.23),4 4.65,( 267.44)
(III) Indian joint venture:,,,,,,,,,,
Cleanmax Harsha Solar LLP,0.63,4.33,1.01,1.52,-,-,(1.28),4.86,( 0.42),2.52
(IV) Foreign associate:,,,,,,,,,,
"Clean Max Alpha LeaseCo FZCO (upto 30th September, 2024)",-,-,17.39,26.18,11.95,26.18,(1.99),7.52,( 2.84),17.01
(V) Foreign joint venture:,,,,,,,,,,
"Kanoo Cleanmax Renewables Asset Co W.L.L (w.e.f. 11th September,
2022)**",1.29,8.89,1.97,2.96,1.94,4.24,(0.18),0.67,-,-
"Kanoo Cleanmax Renewables W.L.L (w.e.f. 4th November, 2024)",3.27,22.47,-,-,20.59,45.10,-,-,-,-
(VI) Adjustments arising out of consolidation,(552.56),"( 3,796.09)",(796.20),"( 1,198.54)","(1,664.75)","( 3,645.87)",8 08.85,"( 3,060.56)",3 41.49,"( 2,045.62)"
Total comprehensive income,100.00,687.00,100.00,150.52,100.00,219.00,1 00.00,(378.41),1 00.00,(599.01)
