Particulars,,"For the six months ended September 30,",,Fiscal,,,,,,,
,,2025,2024,2025,,,2024,,,2023,
"Actual Cost/Budgeted
Cost (%)",96.77%,,99.99%,95.24%,,95.54%,,,97.41%,,
