Particulars,"For the six months period
ended 30th September, 2025",,"For the six months period
ended 30th September, 2024",,"For the year ended
31st March, 2025",,"For the year ended
31st March, 2024",,"For the year ended
31st March, 2023",
,"Options effected
for share split
(Numbers)","Effect of split on
exercise price per
option (Rs)","Options
(Numbers)","Effect of split on
exercise price per
option (Rs)","Options
(Numbers)","Effect of split on exercise price
per option (Rs)","Options
(Numbers)","Effect of split on
exercise price per
option (Rs)","Options
(Numbers)","Effect of split on
exercise price per
option (Rs)"
"Option outstanding at the beginning of the period/year
Granted during the period
Exercised during the period
Encashed during the period
Expired during the period","17,35,980
7 50
-
-
( 19,390)","1
1
-
-
-","13,81,500
4,40,230
-
(14,650)
(62,480)","1
1
-
-
-","13,81,500
4 ,52,990
-
(14,650)
(83,860)","1
1
-
-
-","9,13,890
8 ,16,290
-
( 2,23,960)
( 1,24,720)","1
1
-
-
-","9,75,680
1,66,750
(1,12,030)
-
(1,16,510)","1
1
1
-
1"
Options outstanding at the end of the period/year,"1 7,17,340",1,"17,44,600",1,"17,35,980",1,"13,81,500",1,"9,13,890",1
