,a. Subsidiary companies/ LLPs,"Principal
place of
business /
country of
incorporation","As at 30th
September,
2025
(%)","As at 30th
September,
2024
(%)","As at 31st
March,
2025
(%)","As at 31st
March,
2024
(%)","As at 31st
March,
2023
(%)"
156,"Clean Max Centaurus Private
Limited",India,51,-,100,-,-
157,"VEH Green Energy Private
Limited@",India,100,-,100,-,-
158,"Clean Max Nevada Private
Limited*",India,100,-,-,-,-
159,"Clean Max Tasman Private
Limited*",India,100,-,-,-,-
160,Clean Max Banff Private Limited*,India,51,-,-,-,-
161,"Clean Max Kruger Private
Limited*",India,100,-,-,-,-
162,"Clean Max Pacific Private
Limited*",India,100,-,-,-,-
163,Clean Max Polar Private Limited*,India,100,-,-,-,-
164,Clean Max Sierra Private Limited*,India,100,-,-,-,-
165,"Clean Max Solomon Private
Limited*",India,100,-,-,-,-
166,"Clean Max Atlantic Private
Limited*",India,100,-,-,-,-
167,Clean Max Tahoe Private Limited*,India,100,-,-,-,-
168,"Clean Max Albatross Private
Limited*",India,100,-,-,-,-
169,Clean Max Arctic Private Limited*,India,100,-,-,-,-
170,"Clean Max Solstice Private
Limited*",India,100,-,-,-,-
171,"Clean Max Karakoram Private
Limited*",India,100,-,-,-,-
172,"Clean Max Adriatic Private
Limited*",India,100,-,-,-,-
173,"Clean Max Amalfi Private
Limited*",India,100,-,-,-,-
174,Clean Max Petra Private Limited*,India,100,-,-,-,-
175,"Clean Max Kilimanjaro Private
Limited*",India,100,-,-,-,-
176,Clean Max Fuji Private Limited,India,100,-,-,-,-
177,"Clean Max Iguazu Private
Limited*",India,100,-,-,-,-
178,"Clean Max Azores Private
Limited*",India,100,-,-,-,-
179,Clean Max Peyto Private Limited*,India,100,-,-,-,-
180,"Clean Max Emerald Private
Limited*",India,100,-,-,-,-
181,"Clean Max Victoria Private
Limited*",India,100,-,-,-,-
182,"Clean Max Lapland Private
Limited*",India,100,-,-,-,-
183,"Clean Max Louise Private
Limited*",India,100,-,-,-,-
184,Clean Max Como Private Limited*,India,100,-,-,-,-
