"Sr.
No.",From,To,Terms of arrangement,"Fixed/
Floating",Rate of interest,Tenure,Amount
166,"Clean Max Enviro Energy
Solutions Limited","Clean Max Boreal Private
Limited","Repaymentinoneormoretranches,withoutanyprepaymentpremium,atanytimewithinthetenure.Interest
ontheFacilitytotheLenderonanannualbasisontheLastBusinessDayoftherelevantyearorasmutually
agreedbetweentheParties(the""InterestPaymentDate"").Interestshallbenon-cumulativeinnatureandshall
bepaidbytheBorrowersubjecttoavailabilityofcashflowandapprovaloftheapplicableseniorlenderif
requiredbytheseniorlender.Innoeventshallthecompoundingofinterestorrepaymentamountbepermitted
under this Agreement.",Fixed,10%,20 years,100.00
167,"Clean Max Enviro Energy
Solutions Limited","Clean Max Maya Private
Limited","Repaymentinoneormoretranches,withoutanyprepaymentpremium,atanytimewithinthetenure.Interest
ontheFacilitytotheLenderonanannualbasisontheLastBusinessDayoftherelevantyearorasmutually
agreedbetweentheParties(the""InterestPaymentDate"").Interestshallbenon-cumulativeinnatureandshall
bepaidbytheBorrowersubjecttoavailabilityofcashflowandapprovaloftheapplicableseniorlenderif
requiredbytheseniorlender.Innoeventshallthecompoundingofinterestorrepaymentamountbepermitted
under this Agreement.",Fixed,10%,20 years,100.00
168,"Clean Max Enviro Energy
Solutions Limited","Clean Max Origo Private
Limited","Repaymentinoneormoretranches,withoutanyprepaymentpremium,atanytimewithinthetenure.Interest
ontheFacilitytotheLenderonanannualbasisontheLastBusinessDayoftherelevantyearorasmutually
agreedbetweentheParties(the""InterestPaymentDate"").Interestshallbenon-cumulativeinnatureandshall
bepaidbytheBorrowersubjecttoavailabilityofcashflowandapprovaloftheapplicableseniorlenderif
requiredbytheseniorlender.Innoeventshallthecompoundingofinterestorrepaymentamountbepermitted
under this Agreement.",Fixed,10%,20 years,100.00
169,"Clean Max Enviro Energy
Solutions Limited",Clean Max Patagonia Private Lt,"Repaymentinoneormoretranches,withoutanyprepaymentpremium,atanytimewithinthetenure.Interest
ontheFacilitytotheLenderonanannualbasisontheLastBusinessDayoftherelevantyearorasmutually
agreedbetweentheParties(the""InterestPaymentDate"").Interestshallbenon-cumulativeinnatureandshall
bepaidbytheBorrowersubjecttoavailabilityofcashflowandapprovaloftheapplicableseniorlenderif
requiredbytheseniorlender.Innoeventshallthecompoundingofinterestorrepaymentamountbepermitted
under this Agreement.",Fixed,10%,20 years,200.00
170,"Clean Max Enviro Energy
Solutions Limited","Clean Max Thennal Private
Limited","Repaymentinoneormoretranches,withoutanyprepaymentpremium,atanytimewithinthetenure.Interest
ontheFacilitytotheLenderonanannualbasisontheLastBusinessDayoftherelevantyearorasmutually
agreedbetweentheParties(the""InterestPaymentDate"").Interestshallbenon-cumulativeinnatureandshall
bepaidbytheBorrowersubjecttoavailabilityofcashflowandapprovaloftheapplicableseniorlenderif
requiredbytheseniorlender.Innoeventshallthecompoundingofinterestorrepaymentamountbepermitted
under this Agreement.",Fixed,10%,20 years,100.00
171,"Clean Max Enviro Energy
Solutions Limited","Clean Max Scorpius Power
LLP","Repaymentinoneormoretranches,withoutanyprepaymentpremium,atanytimewithinthetenure.Interest
ontheFacilitytotheLenderonanannualbasisontheLastBusinessDayoftherelevantyearorasmutually
agreedbetweentheParties(the""InterestPaymentDate"").Interestshallbenon-cumulativeinnatureandshall
bepaidbytheBorrowersubjecttoavailabilityofcashflowandapprovaloftheapplicableseniorlenderif
requiredbytheseniorlender.Innoeventshallthecompoundingofinterestorrepaymentamountbepermitted
under this Agreement.",Fixed,10%,20 years,100.00
