Name of the Entity,"For the six months period
ended 30th September, 2025",,"For the six months period
ended 30th September, 2024",,"For the year ended
31st March, 2025",,"For the year ended
31st March, 2024",,"For the year ended
31st March, 2023",
,"Net Profit/(Loss), i.e., total incomes minus total
expense",,"Net Profit/(Loss), i.e., total incomes minus total
expense",,"Net Profit/(Loss), i.e., total incomes minus total
expense",,"Net Profit/(Loss), i.e., total incomes minus total
expense",,"Net Profit/(Loss), i.e., total incomes minus total
expense",
,"As % of consolidated net
(profits)/losses",Amount,"As % of consolidated net
(profits)/losses",Amount,"As % of consolidated net
(profits)/losses",Amount,"As % of consolidated net
(profits)/losses",Amount,"As % of consolidated
net (profits)/losses",Amount
"(I)CleanMaxEnviroEnergySolutionsLimited(formerlyknownasCleanMax
Enviro Energy Solutions Private Limited) (Parent Company)","1 ,961.57","3,727.76","1,240.99",808.88,"1 ,534.46","2,981.31",(750.26),"2,824.21",(221.92),"1,319.81"
(II) (a) Indian subsidiaries:,,,,,,,,,,
Clean Max Alchemy Private Limited,( 0.59),(1.13),0.20,0.13,0 .58,1.12,0.91,( 3.42),-,-
Clean Max Bloom Private Limited,( 0.52),(0.98),( 0.18),(0.12),( 0.20),(0.38),0.07,( 0.25),-,-
Clean Max Cads Private Limited,( 0.20),(0.38),( 0.09),(0.06),( 0.12),(0.23),0.07,( 0.25),-,-
Clean Max Celeste Private Limited,( 1.22),(2.32),( 11.64),(7.59),( 0.76),(1.48),0.50,( 1.90),-,-
Clean Max DOS Private Limited,4.76,9.05,( 1.50),(0.98),1 .95,3.79,0.05,( 0.17),-,-
Clean Max Eliora Private Limited,16.53,31.42,( 23.50),( 15.32),(24.74),( 48.06),0.11,( 0.42),-,-
Clean Max Galaxy Private Limited,( 0.04),(0.07),( 0.02),(0.01),( 0.08),(0.15),0.06,( 0.22),-,-
Clean Max Mirage Private Limited,8.39,15.95,8.16,5.32,(11.75),( 22.83),0.07,( 0.28),-,-
Clean Max Prithvi Private Limited,( 0.47),(0.89),( 0.09),(0.06),( 0.28),(0.55),0.06,( 0.21),-,-
Clean Max Ruby Private Limited,( 4.84),(9.19),( 0.12),(0.08),( 0.14),(0.28),0.05,( 0.20),-,-
Clean Max Opus Private Limited,( 2.78),(5.29),6.20,4.04,(15.97),( 31.02),0.66,( 2.50),-,-
Clean Max Terra Private Limited,( 23.04),( 43.79),10.00,6.52,( 6.73),( 13.07),4.18,( 15.74),-,-
Clean Max Arcadia Private Limited,3.38,6.43,( 10.10),(6.58),( 1.96),(3.80),0.03,( 0.11),-,-
Clean Max Aria Private Limited,( 4.13),(7.85),( 0.12),(0.08),( 0.11),(0.22),0.02,( 0.09),-,-
Clean Max Astral Private Limited,( 1.40),(2.66),( 0.18),(0.12),( 0.14),(0.28),0.02,( 0.09),-,-
Clean Max Atlas Private Limited,0.25,0.47,( 0.15),(0.10),( 0.04),(0.08),0.01,( 0.04),-,-
Clean Max Boreal Private Limited,( 4.36),(8.29),( 0.09),(0.06),( 0.14),(0.27),0.02,( 0.09),-,-
