Year,Revenue,Profit,TotalAssets,TotalLiabilities,Equity,TotalDebt
2023,,-31.0,,,,
2024,1781.8,-31.0,,,23.99,125.78
2025,3429.131781,-31.0,,,21.4623,123.22125
