Year,Revenue,Profit,TotalAssets,TotalLiabilities,Equity,TotalDebt,DebtEquityRatio,NetProfitMargin,ROA,RevenueGrowth,ProfitGrowth
2023,,-31.0,,,,,,,,,
2024,1781.8,-31.0,,,23.99,125.78,5.2430179241350565,-1.7398136715680774,,,0.0
2025,3429.131781,-31.0,,,21.4623,123.22125,5.741288212353755,-0.9040189173178935,,92.45323723201257,0.0
