"KSH International Limited (formerly known as KSH International Private Limited)
Annexure V - Notes forming part of Restated Financial Statements
All amounts in INR millions
Note 27(a): Payment to auditors",,,,
"Statutory audit
Other Assurance Services *
Tax audit
Internal Audit
Certifications
Taxation Matters
Out of pocket expenses reimbursed","0.40
2.50
0.05
-
-
-
-","1 .20
2 .30
0 .20
-
-
-
0 .08","0.83
-
0.10
-
0.16
0.02
0.10","0.38
-
0.10
-
0.16
0.02
0.10"
Total,2.95,3 .78,1.21,0.76
"*The Auditor's remuneration includes other assurance services amounting to INR 4.80 Millions and out of pocket expenses amounting to INR
0.08 Millions related to IPO related engagement.
Note 28:Contingent liabilities and commitments (to the extent not provided for)",,,,
"Contingent Liabilities
Income Tax Demands under Income Tax appeal - (Refer
note 1 below)
CESTAT under Excise Duty - refer note below (Refer note
2 below)
Open Bank Guarantees outstanding
Commitments
Estimated amount of contract remaining to be executed on
capital account and not provided for (net of advances).","-
-
34.92
71.36","-
-
34.92
111.21","0.03
-
31.87
947.20","0.03
52.65
38.12
121.33"
Total,106.28,146.13,979.10,212.13
