,"June 30, 2025",,,,,,,
,"Amount (in
₹ million)",% of total,"Amount (in
₹ million)",% of total,"Amount (in
₹ million)",% of total,"Amount (in
₹ million)",% of total
,,revenue,,revenue,,revenue,,revenue
,,from,,from,,from,,from
,,operations,,operations,,operations,,operations
"Top five export
countries *","1,162.21",21.95%,"4,394.69",22.79%,"3,692.08",28.78%,"3,358.27",34.71%
Total export,"1,615.13",30.50%,"5,903.64",32.70%,4863.35,37.91%,4110.36,42.48%
,"June 30, 2025",,,,,,,
,Amount (₹ in,% of,"Amount (₹ in
million)",% of,Amount (₹ in,"% of
expenses",Amount,"% of
expenses"
,million),expenses,,expenses,million),,(₹ in,
,,,,,,,million),
"Domestic
suppliers","2,800.29",54.97%,"10,671.66",61.27,"9,837.40",78.61%,"6,472.40",68.49%
"Suppliers
from outside
India","2,294.06",45.03%,"6,746.51",38.73,"2,676.70",21.39%,"2,977.16",31.51%
Total,"5,094.36",100.00%,"17,418.18",100.00%,"12,514.10",100.00%,"9,449.56",100.00%
