"KSH International Limited (formerly known as KSH International Private Limited)
Annexure V - Notes forming part of Restated Financial Statements
All amounts in INR Millions
vi) Nature of amount spent:",,,,,
Year,CSR project or activity identified,"Sector in which project
is covered",Projects or programs,,"Amount Spent:
direct or through
implementing agency"
2023-24,Healthcare,Healthcare,"1.Donation to development of garden and retaining
wall of cancer hospital at Mangalore",,1.00
2023-24,PM Care Fund,PM Care Fund,Contribution to PM care Fund,,0.04
2022-23,Promoting Education,Promoting education,"1.Donation for conducting spoken English classes
for 50 students in Pune
2.Donated 18 smart LED TV’s for around 1200
students from 1st to 10th standard for online
education and audio-visual education in classes in
Dyanvardhini School
3.DonatedSciencelabmaterialsforcmistry,bology
andphysicslabsforaround300studentsfrom8thto
12th standard in Dyanvardhini Jr. School
4.Donated 125 benches for approx. 1200 students
from 01st to 10th standard In Gladiolus School.",,2.05
2022-23,Empowerment of women,Empowerment of women,"1.Donation made for providing beds, desks, cup-
boards, mattresses, pillows, ceiling fans and other
infrarelateditemstobefittedinladieshostelfor30
ladies",,2.00
2022-23,Eradicating hunger,Eradicating hunger,"1.Donation madeformid-daymeals of approx.334
children in various schools at Akshaypatra
2.Donation madeformid-daymeals of approx.600
children at Poona Womens Council School.
3.Donation madeformid-daymeals of approx.100
childrenInwestbengalCouncilforwomeninWest
bengal",,1.10
"Note:
Amount spent during the year on:",,,,,
a. Construction/acquisition of any asset,,-,-,-,-
b. Purpose other than (a) above,,0.09,8.43,6.37,5.15
vii) Details of related party transaction with respect to CSR activities.:,,,,,
Parijat Foundation,,-,4.26,1.50,2.00
