Description,Gross Block,,,,Depreciation,,,,Net Block
,"As at April
01, 2025",Additions,Deletions,"As at June
30, 2025","As at April
01, 2025","For the
period",Deletions,"As at June
30, 2025","As at June
30, 2025"
"Property,Plant and Equipment
Free Hold Land
Buildings
Plant and Equipment
Electrical Installation
Computers
Furnitures & Fixtures
Vehicles
Office Equipment
Dies & Moulds","212.13
207.39
1,310.59
20.95
15.00
18.52
67.82
8.35
18.31","-
-
8.13
-
1.66
-
-
0.42
-","-
-
-
-
-
-
0.60
-
-","212.13
207.39
1,318.72
20.95
16.66
18.52
67.22
8.77
18.31","-
95.32
629.13
16.61
11.56
8.82
29.60
5.25
13.28","-
1.91
19.82
0.20
0.44
0.40
1.52
0.17
0.40","-
-
-
-
-
-
0.57
-
-","-
9 7.23
6 48.95
1 6.81
1 2.00
9 .22
3 0.55
5 .42
1 3.68","212.13
110.16
669.77
4.14
4.66
9.30
36.67
3.34
4.64"
Sub Total,"1,879.07",10.21,0.60,"1,888.67",809.57,24.86,0.57,8 33.86,"1,054.81"
"Intangible Assets
Computer Software",27.94,-,-,27.94,17.46,1.12,-,1 8.58,9.36
Sub Total,27.94,-,-,27.94,17.46,1.12,-,1 8.58,9.36
Total,"1,907.01",10.21,0.60,"1,916.62",827.03,25.98,0.57,8 52.44,"1,064.18"
(B) Leased Assets,,,,,,,,,
Description,Gross Block,,,,Depreciation,,,,Net Block
,"As at April
01, 2025",Additions,Deletions,"As at June
30, 2025","As at April
01, 2025","For the
period",Deletions,"As at June
30, 2025","As at June
30, 2025"
"Property,Plant and Equipment
Leasehold Land
Leasehold Improvements","196.36
6.47","-
-","-
-","196.36
6.47","3.24
0.01","0.49
0.31","-
-","3 .73
0 .32","192.63
6.16"
Sub Total,202.83,-,-,202.83,3.25,0.80,-,4 .05,198.79
"Right of Use Assets
Building",116.91,-,-,116.91,65.79,6.53,-,7 2.32,44.59
Sub Total,116.91,-,-,116.91,65.79,6.53,-,7 2.32,44.59
Total,319.74,-,-,319.74,69.04,7.32,-,76.37,243.38
