"KSH International Limited (formerly known as KSH International Private Limited)
Annexure V - Notes forming part of Restated Financial Statements
All amounts in INR Millions
Note 38:Assets Pledged as security",,,,,,,
"Non-Current Borrowing:
Term Loan (Refer Note 1 below)
* Term Loans include current maturities of long term debt","1,448.25","1 ,300.08",395.95,1 01.27,"Monthly/
Quarterly","6 Yrs to 10
Yrs","7.60 % to
9.50 %"
"Current Borrowing:
Working Capital Facilities (Refer Note 2 below)
* Working Capital Facilities include CC/EPC/WCDL","2,345.69","2 ,300.41","1,672.14","1 ,102.27","On Demand/ on
Maturity","Less than one
year","5.75% to
9.75%"
