"Reserves as per IGAAP
Changes on Recognition of Lease Liability
Provision IGAAP A/C Reversal / Creation (Doubtful Debts) For Record
Employee Benefit Expense
Rent Expense Reversal For Recording Lease Liability
Depreciation on PPE Spares Capitalised as Per Ind AS 16
Interest on Lease Liability
Interest Income on Security Deposits
Reserves as per Ind AS Financial Statements","2,138.48
-
i n g E x p e c t e d C r e d 9it. 7L7o s
(0.79)
28.93
(0.02)
(7.86)
1.31
2,169.82","1,796.71
-
s A s p e r E C L M o(1d8e.l19)
(0.25)
27.18
(0.74)
(9.57)
1.18
1,796.32","1,505.37
18.69
8.08
(1.93)
-
-
-
-
1,530.21"
As per Financial Statements,"2,169.82","1,796.32","1,530.21"
Difference,-,-,-
