"Pertaining to period/
year ended","Recognised in the
period ended",Recognised in the year ended,,
,30 June 2025,"31 March
2025","31 March
2024","31 March
2023"
30 June 2025,-,-,-,-
31 March 2025,0.25,1.69,-,-
31 March 2024,0.23,0.21,0.73,-
31 March 2023,-,0.04,0.02,0.32
Prior to 2022-23,-,0.05,-,0.01
Total,0.48,1.99,0.75,0.33
"Pertaining to period/
year ended","Recognised in the
period ended",Recognised in the year ended,,
,30 June 2025,"31 March
2025","31 March
2024","31 March
2023"
30 June 2025,-,-,-,-
31 March 2025,0.23,0.52,-,-
31 March 2024,-,13.32,-,-
31 March 2023,-,1.05,-,-
Prior to 2022-23,-,0.14,0.51,6.30
Total,0.23,15.03,0.51,6.30
"Pertaining to period/
year ended","Recognised in the
period ended",Recognised in the year ended,,
,"June 30, 2025","March 31,
2025","March 31,
2024","March 31,
2023"
"June 30, 2025",-,-,-,-
"March 31, 2025",-,-,-,-
"March 31, 2024",-,-,-,-
"March 31, 2023",-,-,-,-
Prior to 2022-23,-,-,0.24,-
Total,-,-,0.24,-
