"KSH International Limited (formerly known as KSH International Private Limited)
Annexure V - Notes forming part of Restated Financial Statements
All amounts in INR Millions
Note 44: Corporate Social Responsibilty.
The Comapany has formed a Corporate Social Responsibility(CSR)Committee as required under section 135 of The Companies Act,2013.
The company has spent on the activities mentioned in schedule VII to The Companies Act, 2013.
Details of CSR:
Where the company covered under section 135 of the companies act,the following shall be disclosed with regard to CSR activities:",,,,,
i),"Amount required to be spent by the
company during the year",11.63,8.45,6.42,5.19
ii),"Amount approved by the board to be
spent during the year",11.63,8.45,6.42,5.19
iii),Amount of Expenditure Incurred,0.09,8.43,6.34,5.15
iv),Shortfall at the end of the year/period,11.54,0.02,0.08,0.04
v),Reason of Shortfall.,"Company will be
spending the shortfall
during the period in the
remaining months of the
financial year.","Shortfalls are on account
of lack of eligible
projects. The shortfall was
paid in the year 2025-26
to the PM Care Fund.","Shortfalls are on account
of lack of eligible
projects. The shortfall of
the year 2023-24 was
paid in the year 2024-25
to the PM Care fund.","Shortfalls are on
account of lack of
eligible projects. The
shortfall of the year
2022-23 was paid in the
year 2023-24 to the PM
Care fund."
vi) Nature of amount spent:,,,,,
Year,CSR project or activity identified,"Sector in which project
is covered",Projects or programs,,"Amount Spent:
direct or through
implementing agency"
2025-26,PM Care Fund,PM Care Fund,Contribution to PM care Fund,,0.09
2024-25,Promoting Education,Promoting Education,"Donation to Model C School located in Chakan
Pune for providing Computer and Laptops",,0.79
2024-25,Promoting Education,Promoting Education,"Donation to Model C School located in Chakan
Pune for providing Computer and Laptops",,1.25
2024-25,Promoting Education,Promoting Education,"Donation made for mid-day meals for children in
various schools at Akshaypatra",,0.50
2024-25,Promoting Education,Sponsership to Students,"Contribution ofManoVikasSchool forRenovation
work",,0.55
2024-25,Promoting Education,Sponsership to Students,Sponsoring for Fees to Student,,1.00
2024-25,Promoting Education,Promoting Education,"Contribution to Kusumbai Motichand Mahila Seva
Mandal for milk, groceries and vegetables for their",,1.55
2024-25,Promoting Education,Promoting Education,"inmates.
Sponsoring educational support, mid-day meals,
Health and hygiene",,2.71
2024-25,PM Care Fund,PM Care Fund,Contribution to PM care Fund,,0.08
2023-24,Promoting Education,Promoting Education,"1.Donation for school fees sponsorship for needy
studentsoflowincomegroupandformidedaymeal
school program by Parijat Foundation
2.Repair and renovation work at variuos schools of
Poona Womens Council at Pune
3.Contribution towards maths learning classes in
various schools in Himachal Pradesh
4.Contributiontowardspurchaseof06laptopstobe
donated at Poona Womens Council School",,4.80
2023-24,Eradicating hunger,Eradicating hunger,"1.Donation madefor mid-daymeals for children in
various schools at Akshaypatra",,0.50
