Total expenses,Three-month period ended,,,,Fiscal 2024,,,
,,,Fiscal 2025,,,,Fiscal 2023,
,"June 30, 2025",,,,,,,
,Amount,% of total,"Amount (in ₹
million)",% of total,"Amount (in
₹ million)","% of total
expenses",Amount (in ₹,"%of total
expenses"
,(in ₹ million),expenses,,expenses,,,million),
"Cost of raw
materials and
components
consumed","5,094.36",96.29%,"17,418.18",94.27%,"12,514.10",93.40%,"9,449.56",92.54%
"Changes in
inventories of
finished goods
and work-in-
progress",(157.61),(2.98%),(274.23),(1.48%),(195.87),(1.46%),(79.45),(0.78%)
"Employee
benefits
expense",112.65,2.13%,397.15,2.15%,337.29,2.52%,238.27,2.33%
Finance costs,73.13,1.38%,279.99,1.52%,175.70,1.31%,133.74,1.31%
"Depreciation
and
amortisation
expenses",33.30,0.63%,140.02,0.76%,109.54,0.82%,81.91,0.80%
Other expenses,134.89,2.55%,516.49,2.80%,458.01,3.42%,387.22,3.79%
Total,"5,290.72",100.00%,"18,477.60",100.00%,"13,398.77",100.00%,"10,211.25",100.00%
