"KSH International Limited (formerly known as KSH International Private Limited)
Annexure V - Notes forming part of Restated Financial Statements
All amounts in INR millions
Note : 2 Property, Plant & Equipment, Intangible Assets & Right of Use Assets
As at March 31, 2025
(A) Owned Assets",,,,,,,,,
Description,Gross Block,,,,Depreciation,,,,Net Block
,"As at April
01, 2024",Additions,Deletions,"As at March
31, 2025","As at April
01, 2024",For the year,Deletions,"As at March
31, 2025","As at March
31, 2025"
"Property,Plant and Equipment
Free Hold Land
Buildings
Plant and Equipment
Electrical Installation
Computers
Furnitures & Fixtures
Vehicles
Office Equipment
Dies & Moulds","212.13
205.19
1,293.53
20.89
13.16
13.25
51.03
6.18
18.26","-
2.20
17.06
0.06
1.84
5.27
16.79
2.16
0.05","-
-
-
-
-
-
-
-
-","212.13
207.39
1,310.59
20.95
15.00
18.52
67.82
8.35
18.31","-
87.74
537.36
15.29
10.09
8.02
24.34
4.66
11.55","-
7.59
91.77
1.32
1.48
0.80
5.26
0.58
1.73","-
-
-
-
-
-
-
-
-","-
9 5.33
6 29.13
1 6.61
1 1.56
8 .82
2 9.60
5 .24
1 3.28","212.13
112.06
681.46
4.34
3.44
9.70
38.22
3.11
5.03"
Sub Total,"1,833.63",45.44,-,"1,879.07",699.05,110.53,-,8 09.57,"1,069.49"
"Intangible Assets
Computer Software",26.49,1.45,-,27.94,13.27,4.19,-,1 7.46,10.48
Sub Total,26.49,1.45,-,27.94,13.27,4.19,-,1 7.46,10.48
Total,"1,860.12",46.89,-,"1,907.02",712.32,114.71,-,8 27.03,"1,079.97"
(B) Leased Assets,,,,,,,,,
Description,Gross Block,,,,Depreciation,,,,Net Block
,"As at April
01, 2024",Additions,Deletions,"As at March
31, 2025","As at April
01, 2024",For the year,Deletions,"As at March
31, 2025","As at March
31, 2025"
"Property,Plant and Equipment
Leasehold Land
Leasehold Improvements","194.12
-","2.24
6.47","-
-","196.36
6.47","1.28
-","1.96
0.01","-
-","3 .24
0 .01","193.12
6.47"
"Sub Total
Right of Use Assets
Building",194.12,8.72,-,202.83,1.28,1.97,-,3.25,199.58
,99.13,17.78,-,116.91,42.45,23.34,-,6 5.79,51.12
Sub Total,99.13,17.78,-,116.91,42.45,23.34,-,6 5.79,51.12
Total,293.24,26.49,-,319.74,43.73,25.31,-,6 9.04,250.70
