Name of Lender,Type,"Terms of
Repayment",Rate of Interest,Period,"June 30, 2025","March 31, 2025","March 31, 2024","March 31, 2023"
Federal Bank-Vehicle Loan,Secured,5 years,Repo rate plus spread,"Equated Monthly
Instalment",9 .70,1 0.53,1 3.65,1 6.51
Federal Bank-Vehicle Loan,Secured,5 years,Repo rate plus spread,"Equated Monthly
Instalment",2 .80,2 .95,-,-
Federal Bank-Vehicle Loan,Secured,5 years,Repo rate plus spread,"Equated Monthly
Instalment",3 .07,3 .21,-,-
ICICI Bank-Vehicle Loan,Secured,36 Months,7.65%,"Equated Monthly
Instalment",-,-,0 .30,1 .16
ICICI Bank-Vehicle Loan,Secured,3 years,7.80%,"Equated Monthly
Instalment",-,-,-,0 .95
ICICI Bank-Vehicle Loan,Secured,36 Months,7.80%,"Equated Monthly
Instalments",-,-,0.33,0 .21
ICICI Bank-Vehicle Loan,Secured,3 years,7.80%,"Equated Monthly
Instalment",-,0 .16,0 .79,1 .38
,,,,,"1 ,448.25","1 ,300.08",395.95,1 01.27
