"KSH International Limited (formerly known as KSH International Private Limited)
Annexure V - Notes forming part of Restated Financial Statements
All amounts in INR millions
Note : 3 Capital Work-In-Progress:",,,,,,,,,
Particulars,Office Equipments,Buildings,"Plant and
Machinery",Computers,"Furniture
and Fixture",Interest,"Computer
Software","Electrical
Installation",Total
"Gross carrying value as at March 31, 2022",0.00,40.64,61.79,0.07,-,0.98,2.09,-,105.57
"Additions during the year
Capitalized during the year
Deletions/Adjustments during the year","0.14
0.14
-","9 .70
5 0.34
-","131.03
98.61","1 .49
1 .56
-","-
-
-","-
0.98
-","17.77
19.86
-","-
-
-","160.13
171.49
-"
"Gross carrying value as at March 31, 2023",-,-,94.21,-,-,-,-,-,94.21
"Additions during the year
Capitalized during the year
Deletions/Adjustments during the year","-
-
-","1 0.42
-
-","41.14
73.06
-","-
-
-","-
-
-","7.34
6.16
-","0.34
-
-","-
-
-","59.24
79.22
-"
"Gross carrying value as at March 31, 2024",-,10.42,62.29,-,-,1.18,0.34,-,74.23
"Additions during the year
Capitalized during the year
Deletions/Adjustments during the year","-
-
-","508.47
-
-","454.01
-
-","-
-
-","-
-
-","41.22
-
-","-
-
0.34","-
-
-","1,003.71
-
0.34"
"Gross carrying value as at March 31, 2025",-,518.89,516.31,-,-,42.40,-,-,"1,077.60"
"Additions during the period
Capitalized during the period
Deletions/Adjustments during the period","-
-
-","3 1.77
-
-","298.46
5.99
-","-
-
-","-
-
-","24.33
-
-","-
-
-","-
-
-","354.56
5.99
-"
"Gross carrying value as at June 30, 2025",-,5 50.66,808.78,-,-,66.73,-,-,"1,426.17"
"The Company started the construction of a new facility in Fiscal 2023. The Company obtained the Consent to Operate for its new manufacturing facility on September 19, 2025 following which Capital Work-
In-Progress was capitalized to Property, Plant and Equipment. The new factory unit is financed by Banks. Subsequently, the borrowing cost as per IND AS 23 - Borrowing Cost has been capitalised.",,,,,,,,,
