"KSH International Limited
(formerly known as KSH International Private Limited)
Regd. Office: Gat No.11/3,11/4,11/5,Village Biradwadi,Chakan
Tal.Khed, Dist-Pune 410501: CIN U28129PN1979PLC141032
Annexure II - Restated Statement of Profit and Loss
All amounts in INR millions except for EPS",,,,,,
"I
II
III
IV
V
VI
VII
VIII
IX
X
XI","Income
Revenue from Operations
Other Income
Total Income
EXPENSES
Cost of Raw materials and components consumed
Changes in inventories of finished goods and
work-in-progress
Employee benefits expenses
Finance Costs
Depreciation and amortisation expense
Other Expenses
Total Expenses
Profit before exceptional items and Tax (I - II)
Exceptional Items (Net)
Profit before tax (III - IV)
Income Tax Expense:
- Current tax
- Deferred tax Expense/(Credit)
Total tax expense
Profit for the period (V - VI)
Other Comprehensive Income
Items that will not be reclassified to Profit or Loss
Account in subsequent periods:
Remeasurement gain/(loss) on defined benefit
obligation
Tax impact on above
Other Comprehensive Profit/(Loss) (net)
Total Comprehensive Income for the period (net
of taxes) (VII + VIII)
Earning per Equity share
Basic Earnings Per Share (Rs)
Diluted Earnings Per Share (Rs)","20
21
22
23
24
25
26
27
36
36","5 ,587.12
38.92","19,282.93
98.97","13,828.15
7 6.80","10,494.60
7 1.35"
,,,"5 ,626.04","19,381.90","13,904.95","10,565.95"
,,,"5 ,094.36
(157.61)
1 12.65
73.13
33.30
1 34.89","17,418.18
(274.23)
397.15
279.99
140.02
516.49","12,514.10
( 195.87)
3 37.29
1 75.70
1 09.54
4 58.01","9,449.56
(79.45)
2 38.27
1 33.74
8 1.91
3 87.22"
,,,"5 ,290.72","18,477.60","13,398.77","10,211.25"
,,,3 35.32,9 04.30,5 06.18,3 54.70
,,,-,-,-,-
,,,3 35.32,904.30,5 06.18,3 54.70
,,,"9 1.34
17.17
1 08.51","2 35.79
( 11.37)
224.42","1 33.79
(1.10)
1 32.69","8 4.72
3 .85
8 8.57"
,,,2 26.81,679.88,3 73.50,2 66.13
,,,"(0.65)
0.16","( 5.19)
1.31","(0.79)
0 .20","0 .25
(0.06)"
,,,(0.49),( 3.88),(0.59),0 .19
,,,2 26.32,6 76.00,3 72.91,2 66.32
,,,"3.99
3.99","11.97
11.97","6.57
6.57","4 .68
4 .68"
"Summary of material accounting policy information 1
Notes forming part of the Restated Financial Statements (Annexure V)
As per our attached examination report of even date.
For Kirtane & Pandit LLP For and on behalf of the Board of Directors of
Chartered Accountants KSH International Limited
FRN - 105215W/ W100057
Kushal Hegde Rajesh Hegde Rohit Hegde
Chairman Managing Director Jt. Managing
Director
DIN: 00135070 DIN: 00114193 DIN: 00134926
Parag Pansare
Partner Sandesh Bhagwat Amod Joshi Sarthak Malvadkar
Membership No(cid:32). 117309 Chief Executive Chief Financial Company Secretary
Place : Pune Officer Officer and Compliance
Date : October 18, 2025 Officer
Mem No.ACS 28473
Place : Pune
Date: October 18, 2025",,,,,,
