,,,,,,Balance outstanding at the end of the year/period,,,
,Name of Lender,Type,"Terms of
Repayment",Rate of Interest,Period,"June 30, 2025","March 31, 2025","March 31, 2024","March 31, 2023"
,Citi Bank-Working Capital Facility,Secured,"Repayable on
demand","To be decided from
time to time","To be renewed every
12 months",2 22.80,2 23.93,1 68.66,2 45.80
,Federal Bank-Working Capital Facility,Secured,"Repayable on
demand","Linked to Repo Rate
plus spread","To be renewed every
12 months",4 10.59,3 52.57,2 96.09,6 3.44
,ICICI Bank-Working Capital Facility,Secured,"Repayable on
demand","(I-MCLR-6M) +
Spread PA (subject to
change at the end of
every 6 months)","To be renewed every
12 months",8 16.60,7 99.68,2 93.65,4 12.81
,SBI Bank-Working Capital Facility,Secured,"Repayable on
demand","Spread above MCLR
6M","To be renewed every
12 months",4 97.34,7 25.93,6 91.45,3 80.22
,HDFC Bank - Working Capital Facility,Secured,"Repayable on
demand",8.85%,"To be renewed every
12 months",2 49.29,49.29,-,-
,,,,,,"2 ,196.63","2 ,151.38","1 ,449.85","1 ,102.27"
